,date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
21,MAY 21, CNN Town Hall Watch Party | Dubuque ,12, IA,"1108 Locust St, Dubuque, IA",42.50312,-90.66946800000001,1.0,rooftop,1108.0,Locust St,Dubuque,IA,Dubuque County,52001.0,US,Dubuque,"Dubuque County, IA: 12 guests"," CNN Town Hall Watch Party | Dubuque , 1108 Locust St, Dubuque, IA",#FFFACD,10,"(-90.66946800000001, 42.50312)",Point,O'Rourke
22,MAY 21, CNN Town Hall Watch Party | Bettendorf ,13, IA,"Ross' Restaurant, Home of the ""Magic Mountain"", Bettendorf, IA",41.52448,-90.51569,1.0,place,,,Bettendorf,IA,Scott County,52722.0,US,TIGER/Line® dataset from the US Census Bureau,"Scott County, IA: 13 guests"," CNN Town Hall Watch Party | Bettendorf , Ross' Restaurant, Home of the ""Magic Mountain"", Bettendorf, IA",#FFFACD,10,"(-90.51569, 41.52448)",Point,O'Rourke
23,MAY 21, CNN Town Hall Watch Party | Dallas ,12, TX,"16957 Davenport Ct, Dallas, TX",32.980746,-96.79508100000001,1.0,rooftop,16957.0,Davenport Ct,Dallas,TX,Dallas County,75248.0,US,Dallas,"Dallas County, TX: 12 guests"," CNN Town Hall Watch Party | Dallas , 16957 Davenport Ct, Dallas, TX",#FFFACD,10,"(-96.79508100000001, 32.980746)",Point,O'Rourke
24,MAY 21, CNN Town Hall Watch Party | Iowa City ,5, IA,"115 Iowa Ave, Iowa City, IA",41.661141,-91.53444499999999,1.0,range_interpolation,115.0,Iowa Ave,Iowa City,IA,Johnson County,52240.0,US,TIGER/Line® dataset from the US Census Bureau,"Johnson County, IA: 5 guests"," CNN Town Hall Watch Party | Iowa City , 115 Iowa Ave, Iowa City, IA",#FFFACD,5,"(-91.53444499999999, 41.661141)",Point,O'Rourke
25,MAY 21, CNN Town Hall Watch Party | Cedar Rapids ,19, IA,"Parlor City Pub & Eatery, Cedar Rapids, IA",41.976612,-91.657578,1.0,place,,,Cedar Rapids,IA,Linn County,52401.0,US,TIGER/Line® dataset from the US Census Bureau,"Linn County, IA: 19 guests"," CNN Town Hall Watch Party | Cedar Rapids , Parlor City Pub & Eatery, Cedar Rapids, IA",#FFFACD,10,"(-91.657578, 41.976612)",Point,O'Rourke
26,MAY 21, CNN Town Hall Watch Party | Des Moines ,34, IA,"Star Bar - Kitchen & Cocktails, Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301.0,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 34 guests"," CNN Town Hall Watch Party | Des Moines , Star Bar - Kitchen & Cocktails, Des Moines, IA",#FFFACD,10,"(-93.57217299999999, 41.672686999999996)",Point,O'Rourke
27,MAY 21, CNN Town Hall Watch Party | Council Bluffs ,63, IA,"114 W Broadway, Council Bluffs, IA",41.2631,-95.844336,1.0,rooftop,114.0,W Broadway,Council Bluffs,IA,Pottawattamie County,51503.0,US,Pottawattamie,"Pottawattamie County, IA: 63 guests"," CNN Town Hall Watch Party | Council Bluffs , 114 W Broadway, Council Bluffs, IA",#FFFACD,15,"(-95.844336, 41.2631)",Point,O'Rourke
28,MAY 21, CNN Town Hall Watch Party | Ames ,14, IA,"Mother's Pub, Ames, IA",42.037879,-93.600254,1.0,place,,,Ames,IA,Story County,50010.0,US,TIGER/Line® dataset from the US Census Bureau,"Story County, IA: 14 guests"," CNN Town Hall Watch Party | Ames , Mother's Pub, Ames, IA",#FFFACD,10,"(-93.600254, 42.037879)",Point,O'Rourke
29,MAY 21, CNN Town Hall Watch Party | Sioux City ,46, IA,"Buffalo Alice, Sioux City, IA",42.494745,-96.39935600000001,1.0,place,,,Sioux City,IA,Woodbury County,51101.0,US,TIGER/Line® dataset from the US Census Bureau,"Woodbury County, IA: 46 guests"," CNN Town Hall Watch Party | Sioux City , Buffalo Alice, Sioux City, IA",#FFFACD,10,"(-96.39935600000001, 42.494745)",Point,O'Rourke
30,MAY 21, Tipton Town Hall with Beto ,220, IA,"Tipton City Park, Lower Pavilion, 650 South Main St, Tipton, IA",41.772503,-91.13248,1.0,place,,,Tipton,IA,Cedar County,52772.0,US,TIGER/Line® dataset from the US Census Bureau,"Cedar County, IA: 220 guests"," Tipton Town Hall with Beto , Tipton City Park, Lower Pavilion, 650 South Main St, Tipton, IA",#FFFACD,30,"(-91.13248, 41.772503)",Point,O'Rourke
31,MAY 20, Davenport Town Hall ,666, IA,"River Music Experience 129 Main Street, Davenport, IA",41.521038,-90.574849,1.0,place,,,Davenport,IA,Scott County,52801.0,US,TIGER/Line® dataset from the US Census Bureau,"Scott County, IA: 666 guests"," Davenport Town Hall , River Music Experience 129 Main Street, Davenport, IA",#FFFACD,30,"(-90.574849, 41.521038)",Point,O'Rourke
32,MAY 11, Dover Town Hall with Beto ,384, NH,"Thompson’s 2nd Alarm 421 Central Avenue, Dover, NH",43.191189,-70.86184300000001,1.0,street_center,,Thompson Rd,Dover,NH,Strafford County,3820.0,US,TIGER/Line® dataset from the US Census Bureau,"Strafford County, NH: 384 guests"," Dover Town Hall with Beto , Thompson’s 2nd Alarm 421 Central Avenue, Dover, NH",#FFFACD,30,"(-70.86184300000001, 43.191189)",Point,O'Rourke
33,MAY 11, Town Hall with Beto in Exeter ,327, NH,"Exeter, NH",42.977309999999996,-70.94686999999999,1.0,place,,,Exeter,NH,Rockingham County,3833.0,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 327 guests"," Town Hall with Beto in Exeter , Exeter, NH",#FFFACD,30,"(-70.94686999999999, 42.977309999999996)",Point,O'Rourke
34,MAY 10, Hanover Town Hall with Beto ,786, NH,"Top of the HopHanover, NH",43.672691,-71.584315,1.0,state,,,,NH,,,US,US Census Bureau,," Hanover Town Hall with Beto , Top of the HopHanover, NH",#FFFACD,30,"(-71.584315, 43.672691)",Point,O'Rourke
35,MAY 10, Town Hall with Beto in New London ,177, NH,"Susan Colgate Cleveland Library at Colby Sawyer College 541 Main Street, New London, NH",43.413959999999996,-71.98508000000001,1.0,place,,,New London,NH,Merrimack County,3257.0,US,TIGER/Line® dataset from the US Census Bureau,"Merrimack County, NH: 177 guests"," Town Hall with Beto in New London , Susan Colgate Cleveland Library at Colby Sawyer College 541 Main Street, New London, NH",#FFFACD,20,"(-71.98508000000001, 43.413959999999996)",Point,O'Rourke
36,MAY 10, House Party with Beto in Hooksett ,175, NH,"23 Barberry Street, Hooksett, NH",43.04373,-71.408344,0.9,range_interpolation,23.0,Barberry St,Chester,NH,Merrimack County,3036.0,US,TIGER/Line® dataset from the US Census Bureau,"Merrimack County, NH: 175 guests"," House Party with Beto in Hooksett , 23 Barberry Street, Hooksett, NH",#FFFACD,20,"(-71.408344, 43.04373)",Point,O'Rourke
37,MAY 9, Salem House Party with Beto ,373, NH,"33 Woodmeadow Dr, Salem, NH",42.796732,-71.211574,1.0,rooftop,33.0,Woodmeadow Dr,Salem,NH,Rockingham County,3079.0,US,Statewide,"Rockingham County, NH: 373 guests"," Salem House Party with Beto , 33 Woodmeadow Dr, Salem, NH",#FFFACD,30,"(-71.211574, 42.796732)",Point,O'Rourke
38,MAY 8, Minneapolis Town Hall ,1340, MN,"Edison High School 700 22nd Ave NE, Minneapolis, MN",44.984577,-93.269097,1.0,place,,,Minneapolis,MN,Hennepin County,55401.0,US,TIGER/Line® dataset from the US Census Bureau,"Hennepin County, MN: 1340 guests"," Minneapolis Town Hall , Edison High School 700 22nd Ave NE, Minneapolis, MN",#FFFACD,30,"(-93.269097, 44.984577)",Point,O'Rourke
39,MAY 8, Meet and Greet at Angry Inch Brewing ,205, MN,"20841 Holyoke Ave, Lakeville, MN",44.647646,-93.243174,1.0,rooftop,20841.0,Holyoke Ave,Lakeville,MN,Dakota County,55044.0,US,Dakota,"Dakota County, MN: 205 guests"," Meet and Greet at Angry Inch Brewing , 20841 Holyoke Ave, Lakeville, MN",#FFFACD,30,"(-93.243174, 44.647646)",Point,O'Rourke
40,MAY 8, Mason City Town Hall with Beto ,362, IA,"Fat Hill Brewing, Mason City, IA",43.116477,-93.27055899999999,1.0,place,,,Mason City,IA,Cerro Gordo County,50401.0,US,TIGER/Line® dataset from the US Census Bureau,"Cerro Gordo County, IA: 362 guests"," Mason City Town Hall with Beto , Fat Hill Brewing, Mason City, IA",#FFFACD,30,"(-93.27055899999999, 43.116477)",Point,O'Rourke
41,MAY 7, Fayette House Party with Beto ,233, IA,"401 Jones St, Fayette, IA",42.842202,-91.795675,1.0,range_interpolation,401.0,Jones St,Fayette,IA,Fayette County,52142.0,US,TIGER/Line® dataset from the US Census Bureau,"Fayette County, IA: 233 guests"," Fayette House Party with Beto , 401 Jones St, Fayette, IA",#FFFACD,30,"(-91.795675, 42.842202)",Point,O'Rourke
42,MAY 7, Charles City House Party ,257, IA,"Home of Todd & Ann Prichard 107 Ferguson St, Charles City, IA",43.059926000000004,-92.789058,1.0,place,,,Charles City,IA,Floyd County,50616.0,US,TIGER/Line® dataset from the US Census Bureau,"Floyd County, IA: 257 guests"," Charles City House Party , Home of Todd & Ann Prichard 107 Ferguson St, Charles City, IA",#FFFACD,30,"(-92.789058, 43.059926000000004)",Point,O'Rourke
43,MAY 7, Wartburg Town Hall with Beto O'Rourke ,501, IA,"Saemann Student Center (Atrium outside Mensa Dining Hall), Wartburg College 100 Wartburg Blvd Waverly, IA",42.774781,-92.40396899999999,1.0,place,,,Waverly,IA,Bremer County,50677.0,US,TIGER/Line® dataset from the US Census Bureau,"Bremer County, IA: 501 guests"," Wartburg Town Hall with Beto O'Rourke , Saemann Student Center (Atrium outside Mensa Dining Hall), Wartburg College 100 Wartburg Blvd Waverly, IA",#FFFACD,30,"(-92.40396899999999, 42.774781)",Point,O'Rourke
44,MAY 7, Boone Town Hall ,194, IA,"McHose Park - J.B. McHose Shelter 1215 Francis Mason Dr., Boone, IA",42.0425,-93.90489699999999,1.0,place,,,Boone,IA,Boone County,50036.0,US,TIGER/Line® dataset from the US Census Bureau,"Boone County, IA: 194 guests"," Boone Town Hall , McHose Park - J.B. McHose Shelter 1215 Francis Mason Dr., Boone, IA",#FFFACD,20,"(-93.90489699999999, 42.0425)",Point,O'Rourke
45,MAY 7, Adel House Party ,601, IA,"Home of Bryce and Kale Smith 614 Court Street, Adel, IA",41.617591,-94.034515,1.0,place,,,Adel,IA,Dallas County,50003.0,US,TIGER/Line® dataset from the US Census Bureau,"Dallas County, IA: 601 guests"," Adel House Party , Home of Bryce and Kale Smith 614 Court Street, Adel, IA",#FFFACD,30,"(-94.034515, 41.617591)",Point,O'Rourke
46,MAY 6, Indianola Town Hall ,331, IA,"Principal Black Box Theatre - Kent Campus Center - Simpson College 701 North C St, Indianola, IA",41.314309,-93.588041,1.0,place,,,Indianola,IA,Warren County,50125.0,US,TIGER/Line® dataset from the US Census Bureau,"Warren County, IA: 331 guests"," Indianola Town Hall , Principal Black Box Theatre - Kent Campus Center - Simpson College 701 North C St, Indianola, IA",#FFFACD,30,"(-93.588041, 41.314309)",Point,O'Rourke
47,MAY 5, Newton House Party ,63, IA,"Home of Fritz and Carol Kramer 1304 South 4th Avenue West, Newton, IA",41.718107,-93.012335,1.0,place,,,Newton,IA,Jasper County,50208.0,US,TIGER/Line® dataset from the US Census Bureau,"Jasper County, IA: 63 guests"," Newton House Party , Home of Fritz and Carol Kramer 1304 South 4th Avenue West, Newton, IA",#FFFACD,15,"(-93.012335, 41.718107)",Point,O'Rourke
48,MAY 5, Creston Town Hall with Beto O'Rourke ,117, IA,"Restore Depot 116 West Adams St, Creston, IA",41.049896000000004,-94.347137,1.0,place,,,Creston,IA,Union County,50801.0,US,TIGER/Line® dataset from the US Census Bureau,"Union County, IA: 117 guests"," Creston Town Hall with Beto O'Rourke , Restore Depot 116 West Adams St, Creston, IA",#FFFACD,20,"(-94.347137, 41.049896000000004)",Point,O'Rourke
49,MAY 5, Atlantic Town Hall with Beto O'Rourke ,136, IA,"Sunnyside Park Camblin Shelter 1300 Sunnyside Ln, Atlantic, IA",41.400864,-95.02799,1.0,street_center,,Sunnyside Ln,Atlantic,IA,Cass County,50022.0,US,TIGER/Line® dataset from the US Census Bureau,"Cass County, IA: 136 guests"," Atlantic Town Hall with Beto O'Rourke , Sunnyside Park Camblin Shelter 1300 Sunnyside Ln, Atlantic, IA",#FFFACD,20,"(-95.02799, 41.400864)",Point,O'Rourke
50,MAY 5, Red Oak Town Hall with Beto O'Rourke ,265, IA,"Chautauqua Park Pavilion 907 E Summit St, Red Oak, IA",41.017815,-95.22200500000001,1.0,street_center,,Chautauqua Dr,Red Oak,IA,Montgomery County,51566.0,US,TIGER/Line® dataset from the US Census Bureau,"Montgomery County, IA: 265 guests"," Red Oak Town Hall with Beto O'Rourke , Chautauqua Park Pavilion 907 E Summit St, Red Oak, IA",#FFFACD,30,"(-95.22200500000001, 41.017815)",Point,O'Rourke
51,MAY 5, Shenandoah Town hall with Beto O’Rourke ,237, IA,"Cottonwood Pavilion (East Patio) 1309 West Ferguson Rd., Shenandoah, IA",40.726129,-95.349564,1.0,place,,,Shenandoah,IA,Page County,51601.0,US,TIGER/Line® dataset from the US Census Bureau,"Page County, IA: 237 guests"," Shenandoah Town hall with Beto O’Rourke , Cottonwood Pavilion (East Patio) 1309 West Ferguson Rd., Shenandoah, IA",#FFFACD,30,"(-95.349564, 40.726129)",Point,O'Rourke
52,MAY 4, Council Bluffs Town Hall ,783, IA,"Woodrow Wilson Middle School, Council Bluffs, IA",41.23238,-95.875086,1.0,place,,,Council Bluffs,IA,Pottawattamie County,51501.0,US,TIGER/Line® dataset from the US Census Bureau,"Pottawattamie County, IA: 783 guests"," Council Bluffs Town Hall , Woodrow Wilson Middle School, Council Bluffs, IA",#FFFACD,30,"(-95.875086, 41.23238)",Point,O'Rourke
53,MAY 3, Fort Worth Town Hall with Beto ,4835, TX,"Flying Saucer Fort Worth, Fort Worth, TX",32.771419,-97.291484,1.0,place,,,Fort Worth,TX,Tarrant County,76101.0,US,TIGER/Line® dataset from the US Census Bureau,"Tarrant County, TX: 4835 guests"," Fort Worth Town Hall with Beto , Flying Saucer Fort Worth, Fort Worth, TX",#FFFACD,30,"(-97.291484, 32.771419)",Point,O'Rourke
54,APR 30, Town Hall at the Jacobs Center for Neighborhood Innovation ,1031, CA,"Jacobs Center for Neighborhood Innovation - Celebration Hall 404 Euclid Ave, San Diego, CA",32.724103,-117.17091200000002,1.0,place,,,San Diego,CA,San Diego County,92101.0,US,TIGER/Line® dataset from the US Census Bureau,"San Diego County, CA: 1031 guests"," Town Hall at the Jacobs Center for Neighborhood Innovation , Jacobs Center for Neighborhood Innovation - Celebration Hall 404 Euclid Ave, San Diego, CA",#FFFACD,30,"(-117.17091200000002, 32.724103)",Point,O'Rourke
55,APR 28, Town Hall at the Irish Cultural Center in San Francisco ,2051, CA,"Irish Cultural Center in San Francisco 2700 45th Ave, San Francisco, CA",37.776646,-122.41748100000001,1.0,place,,,San Francisco,CA,San Francisco County,94101.0,US,TIGER/Line® dataset from the US Census Bureau,"San Francisco County, CA: 2051 guests"," Town Hall at the Irish Cultural Center in San Francisco , Irish Cultural Center in San Francisco 2700 45th Ave, San Francisco, CA",#FFFACD,30,"(-122.41748100000001, 37.776646)",Point,O'Rourke
56,APR 27, Los Angeles Rally with Beto O'Rourke ,2418, CA,"Los Angeles Trade Tech College 400 West Washington Blvd., Los Angeles, CA",34.039453,-118.25545100000001,0.9,street_center,,S Los Angeles St,Los Angeles,CA,Los Angeles County,90015.0,US,TIGER/Line® dataset from the US Census Bureau,"Los Angeles County, CA: 2418 guests"," Los Angeles Rally with Beto O'Rourke , Los Angeles Trade Tech College 400 West Washington Blvd., Los Angeles, CA",#FFFACD,30,"(-118.25545100000001, 34.039453)",Point,O'Rourke
57,APR 26, UNLV Young Democrats Town Hall ,274, NV,"Greenspun Urban Affairs Building: Courtyard 4505 S Maryland Pkwy, Las Vegas, NV",36.239963,-115.212026,1.0,street_center,,Greenspun Dr,Las Vegas,NV,Clark County,89130.0,US,TIGER/Line® dataset from the US Census Bureau,"Clark County, NV: 274 guests"," UNLV Young Democrats Town Hall , Greenspun Urban Affairs Building: Courtyard 4505 S Maryland Pkwy, Las Vegas, NV",#FFFACD,30,"(-115.212026, 36.239963)",Point,O'Rourke
58,APR 25, Carson City Democrats Town Hall ,230, NV,"Gather Carson CityCarson City, NV",0.0,0.0,0.0,,,,,,,,,,," Carson City Democrats Town Hall , Gather Carson CityCarson City, NV",#FFFACD,30,"(0.0, 0.0)",Point,O'Rourke
59,APR 25," University of Nevada, Reno Young Democrats Town Hall ",320, NV,"Bibo Coffee Company (record street)Reno, NV",0.0,0.0,0.0,,,,,,,,,,," University of Nevada, Reno Young Democrats Town Hall , Bibo Coffee Company (record street)Reno, NV",#FFFACD,30,"(0.0, 0.0)",Point,O'Rourke
60,APR 19, Teatotaller Town Hall ,200, NH,"Teatotaller, 69 High Street, Somersworth, NH",43.26175,-70.86534,1.0,place,,,Somersworth,NH,Strafford County,3878.0,US,TIGER/Line® dataset from the US Census Bureau,"Strafford County, NH: 200 guests"," Teatotaller Town Hall , Teatotaller, 69 High Street, Somersworth, NH",#FFFACD,30,"(-70.86534, 43.26175)",Point,O'Rourke
61,APR 18, Nashua Community College Town Hall ,276, NH,"Nashua Community College (NCC) 505 Amherst Street Nashua, NH",42.764276,-71.463001,1.0,street_center,,Nashua Dr,Nashua,NH,Hillsborough County,3063.0,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 276 guests"," Nashua Community College Town Hall , Nashua Community College (NCC) 505 Amherst Street Nashua, NH",#FFFACD,30,"(-71.463001, 42.764276)",Point,O'Rourke
62,APR 18, Gibson's Bookstore Town Hall ,169, NH,"Gibson’s Bookstore, 45 S Main St, Concord, NH",43.230314,-71.536101,1.0,place,,,Concord,NH,Merrimack County,3301.0,US,TIGER/Line® dataset from the US Census Bureau,"Merrimack County, NH: 169 guests"," Gibson's Bookstore Town Hall , Gibson’s Bookstore, 45 S Main St, Concord, NH",#FFFACD,20,"(-71.536101, 43.230314)",Point,O'Rourke
63,APR 18, Derry Town Hall With Beto ,153, NH,"The Grind Rail Trail Cafe 5 W Broadway, Derry, NH",42.88973,-71.27786,1.0,place,,,Derry,NH,Rockingham County,3038.0,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 153 guests"," Derry Town Hall With Beto , The Grind Rail Trail Cafe 5 W Broadway, Derry, NH",#FFFACD,20,"(-71.27786, 42.88973)",Point,O'Rourke
