,date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
27,APR 27, Las Vegas Organizing Event with Elizabeth Warren ,568, NV,"Bonanza High School, Las Vegas, NV",36.17178,-115.065724,0.9,street_center,,E Bonanza,Las Vegas,NV,Clark County,89110,US,TIGER/Line® dataset from the US Census Bureau,"Clark County, NV: 568 guests"," Las Vegas Organizing Event with Elizabeth Warren , Bonanza High School, Las Vegas, NV",#fbdaee,30,"(-115.065724, 36.17178)",Point,Warren
28,APR 26, Tipton Meet & Greet with Elizabeth Warren ,207, IA,"Tipton Family Restaurant - 101 E 4th St., Tipton, IA",41.772503,-91.13248,1.0,place,,,Tipton,IA,Cedar County,52772,US,TIGER/Line® dataset from the US Census Bureau,"Cedar County, IA: 207 guests"," Tipton Meet & Greet with Elizabeth Warren , Tipton Family Restaurant - 101 E 4th St., Tipton, IA",#fbdaee,30,"(-91.13248, 41.772503)",Point,Warren
29,APR 23, Columbia Student Organizing Event with Elizabeth Warren ,165, SC,"Allen University, Columbia, SC",34.08585,-81.052112,1.0,street_center,,Allen St,Columbia,SC,Richland County,29203,US,TIGER/Line® dataset from the US Census Bureau,"Richland County, SC: 165 guests"," Columbia Student Organizing Event with Elizabeth Warren , Allen University, Columbia, SC",#fbdaee,20,"(-81.052112, 34.08585)",Point,Warren
30,APR 22, Team Warren CNN Town Hall Watch Party ,370, NH,"To Share Brewing Company, Manchester, NH",42.988483,-71.462111,1.0,place,,,Manchester,NH,Hillsborough County,3101,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 370 guests"," Team Warren CNN Town Hall Watch Party , To Share Brewing Company, Manchester, NH",#fbdaee,30,"(-71.462111, 42.988483)",Point,Warren
31,APR 20, Weare Meet & Greet with Elizabeth Warren ,780, NH,"Weare Town Hall – 16 North Stark Highway, Weare, NH",43.084176,-71.762578,1.0,place,,,Weare,NH,Hillsborough County,3281,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 780 guests"," Weare Meet & Greet with Elizabeth Warren , Weare Town Hall – 16 North Stark Highway, Weare, NH",#fbdaee,30,"(-71.762578, 43.084176)",Point,Warren
32,APR 20, Keene State Organizing Event with Elizabeth Warren ,302, NH,"Keene State College (Mabel Brown Room) – 93 Blake Street, Keene, NH",42.965044,-72.294803,1.0,place,,,Keene,NH,Cheshire County,3431,US,TIGER/Line® dataset from the US Census Bureau,"Cheshire County, NH: 302 guests"," Keene State Organizing Event with Elizabeth Warren , Keene State College (Mabel Brown Room) – 93 Blake Street, Keene, NH",#fbdaee,30,"(-72.294803, 42.965044)",Point,Warren
33,APR 17, Salt Lake City Organizing Event with Elizabeth Warren ,2490, UT,"The Depot, Salt Lake City, UT",40.756095,-111.900719,1.0,place,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau,"Salt Lake County, UT: 2490 guests"," Salt Lake City Organizing Event with Elizabeth Warren , The Depot, Salt Lake City, UT",#fbdaee,30,"(-111.900719, 40.756095)",Point,Warren
34,APR 16, Denver Organizing Event with Elizabeth Warren ,2072, CO,"The Hangar at Stanley, Aurora, CO",39.739249,-104.862881,1.0,place,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau,"Arapahoe County, CO: 2072 guests"," Denver Organizing Event with Elizabeth Warren , The Hangar at Stanley, Aurora, CO",#fbdaee,30,"(-104.862881, 39.739249)",Point,Warren
35,APR 15, Beaufort Organizing Event with Elizabeth Warren ,184, SC,"Whale Branch Middle, Seabrook, SC",32.524073,-80.778041,1.0,street_center,,Whale Branch Dr,Seabrook,SC,Beaufort County,29940,US,TIGER/Line® dataset from the US Census Bureau,"Beaufort County, SC: 184 guests"," Beaufort Organizing Event with Elizabeth Warren , Whale Branch Middle, Seabrook, SC",#fbdaee,20,"(-80.778041, 32.524073)",Point,Warren
36,APR 14, Altoona Win With Warren House Party ,18, IA,"Gardner Community Center - 369 13th ave SW, Altoona, IA",41.65097,-93.4685,1.0,place,,,Altoona,IA,Polk County,50009,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 18 guests"," Altoona Win With Warren House Party , Gardner Community Center - 369 13th ave SW, Altoona, IA",#fbdaee,10,"(-93.4685, 41.65097)",Point,Warren
37,APR 14, Cedar Rapids Win With Warren House Party ,5, IA,"Cedar Rapids, IA",41.976612,-91.657578,1.0,place,,,Cedar Rapids,IA,Linn County,52401,US,TIGER/Line® dataset from the US Census Bureau,"Linn County, IA: 5 guests"," Cedar Rapids Win With Warren House Party , Cedar Rapids, IA",#fbdaee,5,"(-91.657578, 41.976612)",Point,Warren
38,APR 14, Decorah Win With Warren House Party ,8, IA,"402 Mound St. Decorah, IA",43.304804,-91.80028399999999,1.0,rooftop,402.0,Mound St,Decorah,IA,Winneshiek County,52101,US,Winneshiek,"Winneshiek County, IA: 8 guests"," Decorah Win With Warren House Party , 402 Mound St. Decorah, IA",#fbdaee,5,"(-91.80028399999999, 43.304804)",Point,Warren
39,APR 14, Jefferson Win With Warren Coffee Hour ,9, IA,"Greene Bean Coffee House - 202 N Wilson Ave, Jefferson, IA",42.007323,-94.372586,0.33,place,,,Jefferson,IA,Greene County,50129,US,TIGER/Line® dataset from the US Census Bureau,"Greene County, IA: 9 guests"," Jefferson Win With Warren Coffee Hour , Greene Bean Coffee House - 202 N Wilson Ave, Jefferson, IA",#fbdaee,5,"(-94.372586, 42.007323)",Point,Warren
40,APR 13, Des Moines Win With Warren House Party ,32, IA,"2920 Kingman Blvd, Des Moines, IA",41.596121999999994,-93.658018,1.0,rooftop,2920.0,Kingman Blvd,Des Moines,IA,Polk County,50311,US,Polk,"Polk County, IA: 32 guests"," Des Moines Win With Warren House Party , 2920 Kingman Blvd, Des Moines, IA",#fbdaee,10,"(-93.658018, 41.596121999999994)",Point,Warren
41,APR 13, Concord Organizing Event with Elizabeth Warren ,277, NH,"Christa McAuliffe School, Concord, NH",43.230314,-71.536101,1.0,place,,,Concord,NH,Merrimack County,3301,US,TIGER/Line® dataset from the US Census Bureau,"Merrimack County, NH: 277 guests"," Concord Organizing Event with Elizabeth Warren , Christa McAuliffe School, Concord, NH",#fbdaee,30,"(-71.536101, 43.230314)",Point,Warren
42,APR 13, Le Mars Win With Warren House Party ,49, IA,"Lally's Eastside Restaurant - 125 Plymouth St NE, Le Mars, IA",42.79416,-96.16558,1.0,place,,,Le Mars,IA,Plymouth County,51031,US,TIGER/Line® dataset from the US Census Bureau,"Plymouth County, IA: 49 guests"," Le Mars Win With Warren House Party , Lally's Eastside Restaurant - 125 Plymouth St NE, Le Mars, IA",#fbdaee,10,"(-96.16558, 42.79416)",Point,Warren
43,APR 13, Benton County Win With Warren House Party ,7, IA,"La Reyna - 202 W 4th St, Vinton, IA",42.087346999999994,-91.987332,1.0,place,,,Vinton,IA,Benton County,52349,US,TIGER/Line® dataset from the US Census Bureau,"Benton County, IA: 7 guests"," Benton County Win With Warren House Party , La Reyna - 202 W 4th St, Vinton, IA",#fbdaee,5,"(-91.987332, 42.087346999999994)",Point,Warren
44,APR 13, Davenport Win With Warren House Party ,66, IA,"The Key at Union Arcade - 229 Brady St, Davenport, IA",41.521038,-90.574849,1.0,place,,,Davenport,IA,Scott County,52801,US,TIGER/Line® dataset from the US Census Bureau,"Scott County, IA: 66 guests"," Davenport Win With Warren House Party , The Key at Union Arcade - 229 Brady St, Davenport, IA",#fbdaee,15,"(-90.574849, 41.521038)",Point,Warren
45,APR 13, Mount Pleasant Win With Warren House Party ,31, IA,"Central Park Coffee Company - 120 N Main St, Mt. Pleasant, IA",40.994595000000004,-91.573713,1.0,place,,,Mount Pleasant,IA,Henry County,52641,US,TIGER/Line® dataset from the US Census Bureau,"Henry County, IA: 31 guests"," Mount Pleasant Win With Warren House Party , Central Park Coffee Company - 120 N Main St, Mt. Pleasant, IA",#fbdaee,10,"(-91.573713, 40.994595000000004)",Point,Warren
46,APR 13, Ames Win With Warren House Party ,32, IA,"3430 Woodland St., Ames, IA",42.026216,-93.6642,1.0,rooftop,3430.0,Woodland St,Ames,IA,Story County,50014,US,Polk,"Story County, IA: 32 guests"," Ames Win With Warren House Party , 3430 Woodland St., Ames, IA",#fbdaee,10,"(-93.6642, 42.026216)",Point,Warren
47,APR 13, East Des Moines Win With Warren House Party ,11, IA,"3127 Thompson Ave, Des Moines, IA",41.613092,-93.555813,1.0,rooftop,3127.0,Thompson Ave,Des Moines,IA,Polk County,50317,US,Polk,"Polk County, IA: 11 guests"," East Des Moines Win With Warren House Party , 3127 Thompson Ave, Des Moines, IA",#fbdaee,10,"(-93.555813, 41.613092)",Point,Warren
48,APR 13, Dartmouth Meet & Greet with Elizabeth Warren ,813, NH,"Hanover Inn Dartmouth, Hanover, NH",43.70701,-72.27741,1.0,place,,,Hanover,NH,Grafton County,3755,US,TIGER/Line® dataset from the US Census Bureau,"Grafton County, NH: 813 guests"," Dartmouth Meet & Greet with Elizabeth Warren , Hanover Inn Dartmouth, Hanover, NH",#fbdaee,30,"(-72.27741, 43.70701)",Point,Warren
49,APR 13, Charles City Win With Warren Coffee Hour ,8, IA,"Aroma's - 214 N Main St., Charles City, IA",43.059926000000004,-92.789058,1.0,place,,,Charles City,IA,Floyd County,50616,US,TIGER/Line® dataset from the US Census Bureau,"Floyd County, IA: 8 guests"," Charles City Win With Warren Coffee Hour , Aroma's - 214 N Main St., Charles City, IA",#fbdaee,5,"(-92.789058, 43.059926000000004)",Point,Warren
50,APR 13, Grinnell Win With Warren Organizing Meeting ,3, IA,"Mayflower Community,  J&B Room - Buckley Dining Hall 616 Broad St, Grinnell, IA",41.738879,-92.723106,1.0,street_center,,Mayflower Ln,Grinnell,IA,Poweshiek County,50112,US,TIGER/Line® dataset from the US Census Bureau,"Poweshiek County, IA: 3 guests"," Grinnell Win With Warren Organizing Meeting , Mayflower Community,  J&B Room - Buckley Dining Hall 616 Broad St, Grinnell, IA",#fbdaee,5,"(-92.723106, 41.738879)",Point,Warren
51,APR 13, Council Bluffs Win With Warren Brunch ,39, IA,"Caddy's Kitchen & Cocktails - 103 W. Broadway, Council Bluffs, IA",41.23238,-95.875086,1.0,place,,,Council Bluffs,IA,Pottawattamie County,51501,US,TIGER/Line® dataset from the US Census Bureau,"Pottawattamie County, IA: 39 guests"," Council Bluffs Win With Warren Brunch , Caddy's Kitchen & Cocktails - 103 W. Broadway, Council Bluffs, IA",#fbdaee,10,"(-95.875086, 41.23238)",Point,Warren
52,APR 13, Indianola Win With Warren House Party ,18, IA,"Indianola, IA",41.314309,-93.588041,1.0,place,,,Indianola,IA,Warren County,50125,US,TIGER/Line® dataset from the US Census Bureau,"Warren County, IA: 18 guests"," Indianola Win With Warren House Party , Indianola, IA",#fbdaee,10,"(-93.588041, 41.314309)",Point,Warren
53,APR 12, Conversation with Women Leaders in Portsmouth ,265, NH,"Portsmouth High School (New Hampshire), Portsmouth, NH",43.005895,-71.013202,1.0,place,,,Portsmouth,NH,Rockingham County,210,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 265 guests"," Conversation with Women Leaders in Portsmouth , Portsmouth High School (New Hampshire), Portsmouth, NH",#fbdaee,30,"(-71.013202, 43.005895)",Point,Warren
54,APR 12, UNH Meet & Greet with Elizabeth Warren ,270, NH,"The Waysmeet Center, Durham, NH",43.141329999999996,-70.92294,1.0,place,,,Durham,NH,Strafford County,3824,US,TIGER/Line® dataset from the US Census Bureau,"Strafford County, NH: 270 guests"," UNH Meet & Greet with Elizabeth Warren , The Waysmeet Center, Durham, NH",#fbdaee,30,"(-70.92294, 43.141329999999996)",Point,Warren
55,APR 6, Reno Organizing Event with Elizabeth Warren ,501, NV,"Earl Wooster High School, Reno, NV",39.541272,-119.831047,1.0,street_center,,Earl Dr,Reno,NV,Washoe County,89503,US,TIGER/Line® dataset from the US Census Bureau,"Washoe County, NV: 501 guests"," Reno Organizing Event with Elizabeth Warren , Earl Wooster High School, Reno, NV",#fbdaee,30,"(-119.831047, 39.541272)",Point,Warren
56,APR 4, Beaverdale Persist Party ,8, IA,"Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 8 guests"," Beaverdale Persist Party , Des Moines, IA",#fbdaee,5,"(-93.57217299999999, 41.672686999999996)",Point,Warren
57,APR 4, Davenport Pints & Persistence ,76, IA,"Front Street Brewery - 208 E River Dr, Davenport, IA",41.457826000000004,-90.705139,1.0,street_center,,Front St,Davenport,IA,Scott County,52804,US,TIGER/Line® dataset from the US Census Bureau,"Scott County, IA: 76 guests"," Davenport Pints & Persistence , Front Street Brewery - 208 E River Dr, Davenport, IA",#fbdaee,15,"(-90.705139, 41.457826000000004)",Point,Warren
58,APR 4, Waukon for Warren: Politics and Pizza ,31, IA,"Gus and Tony's Pizza & Steak - 508 W. Main St., Waukon, IA",43.290026,-91.44575400000001,1.0,place,,,Waukon,IA,Allamakee County,52172,US,TIGER/Line® dataset from the US Census Bureau,"Allamakee County, IA: 31 guests"," Waukon for Warren: Politics and Pizza , Gus and Tony's Pizza & Steak - 508 W. Main St., Waukon, IA",#fbdaee,10,"(-91.44575400000001, 43.290026)",Point,Warren
59,APR 3, Drake Pizza and Policy ,80, IA,"Papa Keno's - Pizzeria 2330 University Ave, Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 80 guests"," Drake Pizza and Policy , Papa Keno's - Pizzeria 2330 University Ave, Des Moines, IA",#fbdaee,15,"(-93.57217299999999, 41.672686999999996)",Point,Warren
60,APR 3, Dubuque Happy Hour ,32, IA,"The Smokestack - 62 E 7th St Dubuque, IA",42.545412,-90.6963,1.0,place,,,Dubuque,IA,Dubuque County,52001,US,TIGER/Line® dataset from the US Census Bureau,"Dubuque County, IA: 32 guests"," Dubuque Happy Hour , The Smokestack - 62 E 7th St Dubuque, IA",#fbdaee,10,"(-90.6963, 42.545412)",Point,Warren
61,APR 3, Waukee for Warren Coffee ,27, IA,"Caribou Coffee - 1025 E Hickman Rd, Waukee, IA",41.59896,-93.87531700000001,1.0,place,,,Waukee,IA,Dallas County,50263,US,TIGER/Line® dataset from the US Census Bureau,"Dallas County, IA: 27 guests"," Waukee for Warren Coffee , Caribou Coffee - 1025 E Hickman Rd, Waukee, IA",#fbdaee,10,"(-93.87531700000001, 41.59896)",Point,Warren
62,APR 2, Sioux City Persist Potluck ,55, IA,"Sioux City, IA",42.494745,-96.39935600000001,1.0,place,,,Sioux City,IA,Woodbury County,51101,US,TIGER/Line® dataset from the US Census Bureau,"Woodbury County, IA: 55 guests"," Sioux City Persist Potluck , Sioux City, IA",#fbdaee,15,"(-96.39935600000001, 42.494745)",Point,Warren
63,APR 2, Iowa City Pints & Persist ,142, IA,"Joe's Place - 115 Iowa Ave, Iowa City, IA",41.634209000000006,-91.49905,1.0,place,,,Iowa City,IA,Johnson County,52240,US,TIGER/Line® dataset from the US Census Bureau,"Johnson County, IA: 142 guests"," Iowa City Pints & Persist , Joe's Place - 115 Iowa Ave, Iowa City, IA",#fbdaee,20,"(-91.49905, 41.634209000000006)",Point,Warren
